Income per operation: 0.9770194199492067, income: 9.4e-323, operation count: 31894, sucsessful operations percentage: 12.906, self_length: 5, after_length: 40, quantity: 4, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9770194199492067, income: 9.4e-323, operation count: 31894, sucsessful operations percentage: 12.944, self_length: 5, after_length: 40, quantity: 4, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9770642002805872, income: 9.4e-323, operation count: 31957, sucsessful operations percentage: 14.861, self_length: 5, after_length: 40, quantity: 5, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9770797967739211, income: 9.4e-323, operation count: 31979, sucsessful operations percentage: 14.915, self_length: 5, after_length: 40, quantity: 5, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9770982016695386, income: 9.4e-323, operation count: 32005, sucsessful operations percentage: 14.562, self_length: 5, after_length: 40, quantity: 5, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9771015014909253, income: 9e-323, operation count: 32012, sucsessful operations percentage: 14.604, self_length: 5, after_length: 40, quantity: 5, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.977080505201484, income: 9.4e-323, operation count: 31980, sucsessful operations percentage: 14.296, self_length: 5, after_length: 40, quantity: 5, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.977080505201484, income: 9.4e-323, operation count: 31980, sucsessful operations percentage: 14.302, self_length: 5, after_length: 40, quantity: 5, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9771363329371027, income: 9.4e-323, operation count: 32059, sucsessful operations percentage: 17.729, self_length: 5, after_length: 40, quantity: 8, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9771384476182959, income: 9.4e-323, operation count: 32062, sucsessful operations percentage: 17.741, self_length: 5, after_length: 40, quantity: 8, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9771490151595759, income: 9.4e-323, operation count: 32077, sucsessful operations percentage: 17.355, self_length: 5, after_length: 40, quantity: 8, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9771490151595759, income: 9.4e-323, operation count: 32077, sucsessful operations percentage: 17.355, self_length: 5, after_length: 40, quantity: 8, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9771172831878733, income: 9.4e-323, operation count: 32032, sucsessful operations percentage: 17.061, self_length: 5, after_length: 40, quantity: 8, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9771172831878733, income: 9.4e-323, operation count: 32032, sucsessful operations percentage: 17.061, self_length: 5, after_length: 40, quantity: 8, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9772653136667393, income: 9.4e-323, operation count: 32243, sucsessful operations percentage: 19.184, self_length: 5, after_length: 40, quantity: 12, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9772653136667393, income: 9.4e-323, operation count: 32243, sucsessful operations percentage: 19.184, self_length: 5, after_length: 40, quantity: 12, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9772283110608866, income: 9.4e-323, operation count: 32190, sucsessful operations percentage: 18.894, self_length: 5, after_length: 40, quantity: 12, min_profit: 5e-05, probability_edge: 0.9. 
